Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Quantity,Unit Price,Extended Price
1,1286-1205-ND,410-376,DIgilent,CMOD S7: BREADBOARDABLE SPARTAN7,1,$99.00 ,$99.00 
2,497-6447-2-ND,LD1117S50TR,STM Microelectronics,IC REG LINEAR 5V 1.2A SOT-223,1,$0.39 ,$0.39 
3,1276-1066-1-ND,CL21B105KAFNNNE,Samsung,CAP CER 1UF 25V X7R 0805,2,$0.08 ,$0.16 
4,587-2990-1-ND,TMK212AB7475KG,Tayo Yuden,CAP CER 4.7UF 25V X7R 0805,3,$0.23 ,$0.69 
5,296-1187-1-ND?,SN74HC00DR?,Texas Instruments,IC GATE NAND 4CH 2-INP 14SOIC,1,$0.23 ,$0.23 
6,RR12P1.0KDCT-ND,RR1220P-102-D,Susumu,RES SMD 1K OHM 0.5% 1/10W 0805,6,$0.04 ,$0.22 
7,296-1630-1-ND,SN74LS05DR,Texas Instruments,IC INVERTER 6CH 1-INP 14SOIC,1,$0.83 ,$0.83 
8,296-14877-1-ND,SN74LS07DR,Texas Instruments,IC BUFF NON-INVERT 5.25V 14-SOIC,1,$0.59 ,$0.59 
9,20KDACT-ND,ERA-6AEB203V,Panasonic,RES SMD 20K OHM 0.1% 1/8W 0805,1,$0.14 ,$0.14 
10,A129757CT-ND,CRGCQ0805F4K7,TE Connectivity,RES 4.7K OHM 1% 1/8W 0805,1,$0.10 ,$0.10 
11,RC0805FR-071K69L,RC0805FR-071K69L,Yageo,RES 1.69K OHM 1% 1/8W 0805,1,$0.10 ,$0.10 
12,RC0805FR-071K8L,RC0805FR-071K8L,Yageo,RES 1.8K OHM 1% 1/8W 0805,1,$0.10 ,$0.10 
13,ERA-6AEB332V,ERA-6AEB332V,Panasonic,RES SMD 3.3K OHM 0.1% 1/8W ,1,$0.10 ,$0.10 
14,KGM21NR71H104KT,KGM21NR71H104KT,Kyocera,CAP CER 0.1UF 50V X7R 0805,2,$0.08 ,$0.16 
15,732-4251-1-ND,331081302025,Wurth,RFI SHLD FINGER BECU GOLD SOLDER,50,$0.09 ,$4.47 
16,,,,,,,$0.00 
17,,,,,1,$0.00 ,$0.00 
18,,,,,1,$0.00 ,$0.00 
19,,,,,1,$0.00 ,$0.00 
,,,,Fedex Digikey shipment charge,1,$6.99 ,$6.99 
,,,,tax,,,$7.51 
,,,,PCB + shipping charge,0.2,90,$18.00 
,,,,,,,$0.00 
,,,,,,subtotal,$139.78 
